priority_rank,sku_id,description,category,subcategory,supplier,week_start,week_end,weekly_forecast_demand,forecast_weeks_available,lead_time_days,lead_time_weeks,ending_on_hand_units,ending_on_order_units,inventory_position_units,average_reorder_point,demand_rolling_std_13,safety_stock_units,lead_time_forecast_units,lead_time_need_units,projected_lead_time_balance_units,stockout_gap_units,stockout_risk_score,stockout_risk_level,forecast_horizon_units,overstock_threshold_units,excess_inventory_units,overstock_risk_score,overstock_risk_level,inventory_coverage_weeks,minimum_order_quantity,recommended_order_units,unit_cost,list_price,recommended_order_cost,potential_lost_revenue,excess_inventory_value,overall_risk_score,primary_risk,value_at_stake,recommended_action
1,SKU10148,ENERGY BAR PROTEIN,Food & Bev,Food & Bev,SUP123,2024-12-23,2024-12-29,140.52766614127717,8,1,1,59,0,59,24.0,62.87757743098686,103.74800276112832,140.52766614127717,244.27566890240547,-185.27566890240547,185.27566890240547,75.8469600079857,High,1124.2213291302173,1227.9693318913457,0.0,0.0,Low,0.4198461528613542,50,350.0,12.35,22.07,4322.5,4089.034012676089,0.0,75.8469600079857,Stockout,4089.034012676089,Expedite supply and place the recommended replenishment order
2,SKU10016,HANGING ORNAMENT GLASS,Home Decor,Home Decor,SUP127,2024-12-23,2024-12-29,22.405264884462785,8,8,2,80,0,80,75.0,61.73308966003856,144.05122486329435,44.81052976892557,188.8617546322199,-108.86175463221991,108.86175463221991,57.64097386664417,High,179.24211907570228,323.2933439389966,0.0,0.0,Low,3.570589341948687,10,140.0,9.83,15.29,1376.2,1664.4962283266423,0.0,57.64097386664417,Stockout,1664.4962283266423,Expedite supply and place the recommended replenishment order
3,SKU10037,BLENDER COMPACT,Kitchenware,Kitchenware,SUP116,2024-12-23,2024-12-29,128.21643695602705,8,10,2,193,0,193,188.0,84.56790626018103,197.3351819581636,256.4328739120541,453.7680558702177,-260.7680558702177,260.7680558702177,57.46725722452031,High,1025.7314956482164,1223.06667760638,0.0,0.0,Low,1.5052672230019233,20,400.0,5.44,8.37,2176.0,2182.6286276337223,0.0,57.46725722452031,Stockout,2182.6286276337223,Expedite supply and place the recommended replenishment order
4,SKU10120,FACE CREAM MOISTURIZING,Beauty,Beauty,SUP127,2024-12-23,2024-12-29,210.9504954735481,8,8,2,323,0,323,220.0,135.5509649636036,316.30172152307597,421.9009909470962,738.2027124701722,-415.2027124701722,415.2027124701722,56.245080850524026,High,1687.6039637883848,2003.9056853114607,0.0,0.0,Low,1.5311649269887693,10,630.0,20.96,42.14,13204.800000000001,17496.642303493056,0.0,56.245080850524026,Stockout,17496.642303493056,Expedite supply and place the recommended replenishment order
5,SKU10144,SPICE MIX CURRY,Food & Bev,Food & Bev,SUP116,2024-12-23,2024-12-29,1661.2500847775539,8,1,1,958,0,958,245.0,303.34238504386883,500.51493532238356,1661.2500847775539,2161.7650200999374,-1203.7650200999374,1203.7650200999374,55.68436018285332,High,13290.000678220431,13790.515613542815,0.0,0.0,Low,0.5766741616920844,100,2900.0,10.8,17.27,31320.000000000004,20789.021897125916,0.0,55.68436018285332,Stockout,20789.021897125916,Expedite supply and place the recommended replenishment order
6,SKU10048,NOTEBOOK A5 RULED,Stationery,Stationery,SUP119,2024-12-23,2024-12-29,33.70855090017606,8,3,1,63,0,63,26.0,62.279662894530894,102.76144377597596,33.70855090017606,136.46999467615203,-73.46999467615203,73.46999467615203,53.83600611252348,High,269.66840720140846,372.42985097738443,0.0,0.0,Low,1.8689619790114134,100,200.0,6.18,10.07,1236.0,739.842846388851,0.0,53.83600611252348,Stockout,739.842846388851,Expedite supply and place the recommended replenishment order
7,SKU10118,HDMI CABLE 2M,Electronics,Electronics,SUP129,2024-12-23,2024-12-29,90.86113373081969,8,15,3,187,65,252,208.0,86.62415130749389,247.5617615247371,272.58340119245906,520.1451627171962,-268.1451627171962,268.1451627171962,51.551986240900916,High,726.8890698465575,974.4508313712946,0.0,0.0,Low,2.7734630820980253,20,360.0,59.14,130.77,21290.4,35065.342928527745,0.0,51.551986240900916,Stockout,35065.342928527745,Expedite supply and place the recommended replenishment order
8,SKU10008,FAIRY LIGHTS LED,Home Decor,Home Decor,SUP124,2024-12-23,2024-12-29,34.551406483589844,8,8,2,93,0,93,85.0,52.444598362804726,122.37697275851563,69.10281296717969,191.4797857256953,-98.47978572569531,98.47978572569531,51.430904495714444,High,276.41125186871875,398.7882246272344,0.0,0.0,Low,2.691641512312104,100,200.0,2.55,5.51,509.99999999999994,542.6236193485811,0.0,51.430904495714444,Stockout,542.6236193485811,Expedite supply and place the recommended replenishment order
9,SKU10022,FIGURINE SET CERAMIC,Home Decor,Home Decor,SUP102,2024-12-23,2024-12-29,79.77513023520567,8,5,1,122,0,122,87.0,101.60020946879276,167.64034562350804,79.77513023520567,247.4154758587137,-125.4154758587137,125.4154758587137,50.69023084466436,High,638.2010418816453,805.8413875051533,0.0,0.0,Low,1.5292986628827843,10,210.0,10.34,16.48,2171.4,2066.8470421516017,0.0,50.69023084466436,Stockout,2066.8470421516017,Expedite supply and place the recommended replenishment order
10,SKU10097,UMBRELLA COMPACT,Apparel,Apparel,SUP118,2024-12-23,2024-12-29,15.48207166424973,8,20,3,223,30,253,228.0,5.019193928541524,14.344273180504,46.44621499274919,60.790488173253195,192.2095118267468,0.0,0.0,Low,123.85657331399784,138.20084649450183,114.79915350549817,45.375159488159845,High,16.341482295564642,10,0.0,31.29,68.83,0.0,0.0,3592.0655131870376,45.375159488159845,Overstock,3592.0655131870376,"Pause replenishment; consider transfer, promotion or markdown"
