model,evaluation_period,wape_percent,mae,rmse,bias_percent,actual_total,forecast_total,evaluation_rows,fold,train_start,train_end,validation_start,validation_end,training_weeks,validation_weeks,forecast_horizon_weeks
HistGradientBoosting,Rolling CV Fold 1,44.33022519215273,59.03086670295711,122.42897099709319,-10.667357036085203,159794.0,142748.203497758,1200,1,2023-01-02,2024-02-12,2024-02-19,2024-04-08,59,8,8
RandomForest,Rolling CV Fold 1,43.301097485505785,57.6604630966576,104.53767592785698,-1.0258922336249092,159794.0,158154.6857642014,1200,1,2023-01-02,2024-02-12,2024-02-19,2024-04-08,59,8,8
Naive - Previous Week,Rolling CV Fold 1,51.54135950035671,68.63333333333334,127.79635492976055,-3.491995944778903,159794.0,154214.0,1200,1,2023-01-02,2024-02-12,2024-02-19,2024-04-08,59,8,8
Seasonal Naive - 52 Weeks,Rolling CV Fold 1,91.09165550646458,121.29916666666666,298.73831497371293,-89.27681890433934,159794.0,17135.0,1200,1,2023-01-02,2024-02-12,2024-02-19,2024-04-08,59,8,8
HistGradientBoosting,Rolling CV Fold 2,42.63257055967248,60.68106930610983,113.98722561521537,2.15287141268422,170802.0,174479.1474302929,1200,2,2023-01-02,2024-04-08,2024-04-15,2024-06-03,67,8,8
RandomForest,Rolling CV Fold 2,42.78764432703257,60.901793552881806,106.7197579367095,8.081157071275811,170802.0,184604.77790088052,1200,2,2023-01-02,2024-04-08,2024-04-15,2024-06-03,67,8,8
Naive - Previous Week,Rolling CV Fold 2,49.42213791407595,70.345,135.76915457250712,0.6018664886828023,170802.0,171830.0,1200,2,2023-01-02,2024-04-08,2024-04-15,2024-06-03,67,8,8
Seasonal Naive - 52 Weeks,Rolling CV Fold 2,78.80762520345195,112.17083333333333,273.19853434209097,-73.25382606761045,170802.0,45683.0,1200,2,2023-01-02,2024-04-08,2024-04-15,2024-06-03,67,8,8
HistGradientBoosting,Rolling CV Fold 3,48.02402628746088,63.11877815004796,119.12159559498598,11.633320750216047,157718.0,176065.84082082575,1200,3,2023-01-02,2024-06-03,2024-06-10,2024-07-29,75,8,8
RandomForest,Rolling CV Fold 3,49.08407292172598,64.5120151089065,110.29403102321922,15.653721077638213,157718.0,182406.73580922943,1200,3,2023-01-02,2024-06-03,2024-06-10,2024-07-29,75,8,8
Naive - Previous Week,Rolling CV Fold 3,52.72384889486298,69.29583333333333,126.92865121791849,1.9243206228838814,157718.0,160753.0,1200,3,2023-01-02,2024-06-03,2024-06-10,2024-07-29,75,8,8
Seasonal Naive - 52 Weeks,Rolling CV Fold 3,68.15075007291495,89.57166666666667,203.130233265919,-54.53530985683308,157718.0,71706.0,1200,3,2023-01-02,2024-06-03,2024-06-10,2024-07-29,75,8,8
HistGradientBoosting,Rolling CV Fold 4,43.405898734083245,53.34693469165666,88.35607620431625,6.394475634611767,147483.0,156913.76450019446,1200,4,2023-01-02,2024-07-29,2024-08-05,2024-09-23,83,8,8
RandomForest,Rolling CV Fold 4,45.875545332239575,56.382192101955745,88.39764745350305,14.697400166428437,147483.0,169159.16668745366,1200,4,2023-01-02,2024-07-29,2024-08-05,2024-09-23,83,8,8
Naive - Previous Week,Rolling CV Fold 4,51.06825871456371,62.76416666666667,114.68816053397433,-1.0163883295023834,147483.0,145984.0,1200,4,2023-01-02,2024-07-29,2024-08-05,2024-09-23,83,8,8
Seasonal Naive - 52 Weeks,Rolling CV Fold 4,58.1178847731603,71.42833333333333,158.6871135284778,-34.99386369954503,147483.0,95873.0,1200,4,2023-01-02,2024-07-29,2024-08-05,2024-09-23,83,8,8
