sku_id,actual_total,forecast_total,absolute_error_total,mean_absolute_error,mean_squared_error,overforecast_weeks,underforecast_weeks,evaluation_weeks,rmse,forecast_error_total,wape_percent,bias_percent,bias_direction,description,category,error_rank
SKU10100,36705,39665.268386350566,5247.938060445844,403.68754311121876,204312.38884699452,10,3,13,452.00927960274726,2960.2683863505663,14.297610844424039,8.065027615721473,Over-forecasting,BELT LEATHER BLACK,Apparel,1
SKU10045,17103,18478.688170796682,3827.554986609299,294.4273066622537,113156.4859486248,10,3,13,336.3874045629901,1375.6881707966822,22.37943627790036,8.043548914206177,Over-forecasting,CASSEROLE DISH OVAL,Kitchenware,2
SKU10144,20460,19820.991980843875,3220.2226543820943,247.7094349524688,95205.58168316647,6,7,13,308.5540174477825,-639.0080191561246,15.739113657781498,-3.1232063497366793,Balanced,SPICE MIX CURRY,Food & Bev,3
SKU10114,9358,11074.790102656476,2056.6135407074216,158.2010415928786,37493.56442309507,12,1,13,193.63255000927677,1716.790102656476,21.977062841498416,18.345694621248942,Over-forecasting,LED BULB SMART,Electronics,4
SKU10123,6754,6401.6570492862875,1889.5007200830705,145.34620923715926,32552.483207336853,6,7,13,180.4230672817,-352.3429507137125,27.976024875378595,-5.216804126646617,Under-forecasting,SHAMPOO HERBAL,Beauty,5
SKU10082,3506,3988.51805319903,1843.790581819169,141.83004475532067,38102.15762191205,11,2,13,195.1977397971402,482.51805319902996,52.5895773479512,13.762636999401881,Over-forecasting,WOODEN TRAIN SET,Toys,6
SKU10105,11801,10868.79894906376,1832.703871827188,140.9772209097837,38232.01183864307,5,8,13,195.530079114808,-932.2010509362408,15.53007263644766,-7.899339470690965,Under-forecasting,BLUETOOTH SPEAKER PORTABLE,Electronics,7
SKU10143,5928,5455.577709958452,1815.0434425949163,139.6187263534551,26219.49147821678,5,8,13,161.92433874565236,-472.42229004154797,30.61814174417875,-7.969336876544332,Under-forecasting,SAUCE BOTTLE TOMATO,Food & Bev,8
SKU10147,5027,4818.452786745543,1792.3401594707102,137.8723199592854,25763.240712424813,6,7,13,160.50931659073504,-208.54721325445735,35.654270130708376,-4.1485421375463964,Balanced,CEREAL BOX MUESLI,Food & Bev,9
SKU10019,4030,3929.278088299251,1789.1125143365284,137.62403956434835,28985.76555747168,8,5,13,170.2520647671319,-100.72191170074893,44.39485147237043,-2.499303019869701,Balanced,DOOR MAT WELCOME,Home Decor,10
SKU10021,10985,11272.704869223388,1781.8381158631366,137.06447045101052,30740.15442053235,8,5,13,175.32870392646024,287.7048692233875,16.220647390652132,2.6190702705815885,Balanced,WIND CHIME BAMBOO,Home Decor,11
SKU10096,3752,3154.483395381938,1757.9837728978166,135.22952099213973,23961.964953852344,6,7,13,154.7965275897762,-597.516604618062,46.85457816891835,-15.925282639074148,Under-forecasting,JACKET LIGHT NYLON,Apparel,12
SKU10047,5606,5763.263222122446,1701.3120739768192,130.8701595366784,31460.20960527019,4,9,13,177.37026133281248,157.26322212244577,30.348056974256497,2.8052661812780193,Balanced,PACK OF 72 RETROSPOT CAKE CASES,Stationery,13
SKU10059,3081,3267.6237698053114,1591.6249268593645,122.43268668148957,25765.20804716482,9,4,13,160.51544488666758,186.62376980531144,51.659361468982944,6.05724666683906,Over-forecasting,HIGHLIGHTERS PACK,Stationery,14
SKU10087,4689,4914.88381742506,1583.9143162916278,121.83956279166367,18705.697283189085,8,5,13,136.76877305580058,225.88381742506044,33.77936268482891,4.817313231500543,Balanced,HAND WARMER UNION JACK,Apparel,15
SKU10042,2980,2983.13982423905,1532.682840970356,117.89868007464277,17776.992557169557,9,4,13,133.33038872353728,3.1398242390500855,51.43231009967637,0.10536322949832502,Balanced,FRUIT BASKET WIRE,Kitchenware,16
SKU10140,3570,3174.812745937084,1473.437552347034,113.34135018054107,20695.515836105667,6,7,13,143.85936130855603,-395.18725406291605,41.27276056994493,-11.069670982154511,Under-forecasting,BISCUITS PACK BUTTER,Food & Bev,17
SKU10092,3123,3049.626475235266,1422.4259765257925,109.41738280967635,17730.762189721467,7,6,13,133.15690815621045,-73.37352476473416,45.546781188786184,-2.349456444596034,Balanced,GLOVES PAIR LEATHER,Apparel,18
SKU10002,2804,2983.075111227668,1420.367719011315,109.2590553085627,14944.059738475045,9,4,13,122.2458986570717,179.075111227668,50.65505417301409,6.386416234938232,Over-forecasting,CREAM CUPID HEARTS COAT HANGER,Home Decor,19
SKU10094,2479,2129.7263434747374,1387.9116155807938,106.76243196775337,20521.755853038398,7,6,13,143.25416522055613,-349.2736565252626,55.98675335138337,-14.089296350353472,Under-forecasting,T-SHIRT COTTON WHITE,Apparel,20
SKU10109,2091,1672.2364347716054,1369.3656004298678,105.33581541768214,15736.034721052261,7,6,13,125.44335263796269,-418.76356522839455,65.48855095312615,-20.02695194779505,Under-forecasting,PHONE CASE SILICONE,Electronics,21
SKU10056,2897,2755.543916166808,1328.493237137759,102.1917874721353,14303.53842143761,7,6,13,119.59740139918429,-141.45608383319222,45.85755047075454,-4.882847215505428,Balanced,FOLDER PACK A4,Stationery,22
SKU10057,2535,1801.6795070178086,1325.9513458277438,101.9962573713649,17233.00992693188,6,7,13,131.2745593286524,-733.3204929821914,52.30577301095636,-28.927830097916818,Under-forecasting,CALENDAR DESK 2025,Stationery,23
SKU10120,2390,2405.7682679544514,1238.7475537189648,95.28827336299729,17487.599700657218,7,6,13,132.24068852156367,15.768267954451403,51.83044157819936,0.6597601654582177,Balanced,FACE CREAM MOISTURIZING,Beauty,24
SKU10103,5321,5036.10539728657,1235.533684168359,95.04105262833531,13723.701480091793,5,8,13,117.14820305959368,-284.8946027134298,23.219952718819002,-5.3541552849733085,Under-forecasting,SLIPPERS HOUSE,Apparel,25
SKU10119,1835,1360.3224349628722,1230.577507379826,94.65980825998662,19949.86893949293,9,4,13,141.24400496832752,-474.6775650371278,67.06144454385974,-25.867987195483806,Under-forecasting,CHARGER ADAPTER FAST,Electronics,26
SKU10138,2758,2248.2900033889414,1220.8776870213599,93.91366823241229,11385.30816789306,4,9,13,106.70195953164618,-509.7099966110586,44.26677617916461,-18.48114563491873,Under-forecasting,OLIVE OIL EXTRA VIRGIN,Food & Bev,27
SKU10083,1624,1347.1784771961613,1199.8703719030527,92.29772091561944,11479.551556882247,8,5,13,107.1426691700475,-276.82152280383866,73.88364359008945,-17.04566027117233,Under-forecasting,KITE COLORFUL,Toys,28
SKU10055,1588,1494.6336912663196,1196.903594942888,92.06950730329908,14605.92225862333,9,4,13,120.85496373183572,-93.3663087336804,75.37176290572343,-5.879490474413123,Under-forecasting,PAPER CLIPS BOX,Stationery,29
SKU10024,2388,2688.736674212633,1175.405551685913,90.41581166814716,12043.60069588487,9,4,13,109.74334009808919,300.7366742126328,49.22133801029786,12.593663074230854,Over-forecasting,INCENSE HOLDER WOOD,Home Decor,30
SKU10101,3136,3859.5606957452696,1132.4828033516762,87.11406179628278,8958.73032554347,9,4,13,94.65056959967791,723.5606957452696,36.112334290550905,23.072726267387424,Over-forecasting,CAP SUMMER BASEBALL,Apparel,31
SKU10031,3439,3686.3040910197788,1129.7060482045113,86.90046524650087,10040.619813490066,7,6,13,100.20289323911793,247.30409101977875,32.849841471489135,7.191162867687664,Over-forecasting,SPICE RACK WOODEN,Kitchenware,32
SKU10063,2040,1815.404325348211,1045.4879328241063,80.4221486787774,11438.191218704103,8,5,13,106.94947974957196,-224.59567465178907,51.24940847176992,-11.009591894695543,Under-forecasting,TAPE DISPENSER,Stationery,33
